staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.008128899999974237,,0.0026121999999304535,0.008128899999974237,0.5354495999999926,0.5354495999999926,0.5354495999999926,0.8413273999999547,0.9932630000002973,right,10.0,1,1,0.39795609999964654,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
1,2,8.0,0.996470699999918,,0.9933298000000832,0.996470699999918,1.5078609000001961,1.5078609000001961,1.5078609000001961,1.8080026000002363,2.0589966000002278,left,-8.0,1,1,0.5420675000000301,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
2,2,6.0,2.0744253000002573,,2.059079600000132,2.0744253000002573,2.574662200000148,2.574662200000148,2.574662200000148,2.8744595000002846,2.975529700000152,left,-6.0,1,1,0.39773749999994834,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
3,2,4.0,2.9910680000002685,,2.9755890999999792,2.9910680000002685,3.4909655000001294,3.4909655000001294,3.4909655000001294,3.7911441000001105,3.8919942000002266,left,-4.0,1,1,0.38809249999985695,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
4,2,2.0,3.907578100000137,,3.892052700000022,3.907578100000137,4.407678200000191,4.390942500000165,4.390942500000165,4.690838700000313,4.7423163000003115,left,-2.0,1,1,0.3500739999999496,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
5,1,1.0,4.75748270000031,,4.742407100000037,4.75748270000031,5.257571399999961,5.257571399999961,5.257571399999961,5.55746390000013,6.00826810000035,left,-1.0,0,0,0.7422000999999909,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
6,1,2.0,6.02408400000013,,6.008326699999998,6.02408400000013,6.5237403999999515,6.5237403999999515,6.5237403999999515,6.824235699999917,7.20802410000033,left,-2.0,1,1,0.6741165999997065,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
7,1,2.0,7.223949800000355,,7.208080000000336,7.223949800000355,7.723894300000211,7.707125800000085,7.707125800000085,8.007316500000343,8.157973800000036,left,-2.0,1,1,0.44668240000009973,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
8,1,2.0,8.173834400000032,,8.158036400000128,8.173834400000032,8.673534700000346,8.657163700000183,8.657163700000183,8.95714050000015,9.09163800000033,right,2.0,1,1,0.41852279999966413,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
9,0.5,1.0,9.107071299999916,,9.091702800000348,9.107071299999916,9.607089999999971,9.607089999999971,9.607089999999971,9.906954900000073,10.074444200000016,right,1.0,0,0,0.4511305999999422,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
10,0.5,1.5,10.090264800000114,,10.074504100000013,10.090264800000114,10.590285900000254,10.590285900000254,10.590285900000254,10.889858400000321,11.107583700000305,right,1.5,1,1,0.5104410999997526,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
11,0.5,1.5,11.123539100000016,,11.107639800000015,11.123539100000016,11.623316200000318,11.606840899999952,11.606840899999952,11.906699099999969,12.190735000000132,left,-1.5,1,1,0.5713990999997804,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
12,0.5,1.5,12.206568699999934,,12.190790900000138,12.206568699999934,12.70750790000011,12.690113300000121,12.690113300000121,12.989599400000316,13.190737500000068,right,1.5,1,1,0.4854178000000502,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
13,0.5,1.0,13.20646650000026,,13.190796500000033,13.20646650000026,13.706398199999967,13.706398199999967,13.706398199999967,14.006405200000245,14.157102600000144,right,1.0,1,1,0.44134740000026795,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
14,0.5,1.0,14.173210899999958,,14.15716169999996,14.173210899999958,14.672971299999972,14.656161300000349,14.656161300000349,14.956180600000152,15.240617899999961,left,-1.0,1,1,0.5693446000000222,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
15,0.5,1.0,15.256248099999993,,15.240673600000264,15.256248099999993,15.75631199999998,15.75631199999998,15.75631199999998,16.05602110000018,16.274279300000217,left,-1.0,1,1,0.5166819999999461,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
16,0.5,1.0,16.289290800000344,,16.274338100000023,16.289290800000344,16.78938900000003,16.78938900000003,16.78938900000003,17.09010500000022,17.256860400000278,left,-1.0,1,1,0.4552063000000999,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
17,0.5,1.0,17.272532200000114,,17.25691800000004,17.272532200000114,17.772612199999912,17.772612199999912,17.772612199999912,18.072621300000264,18.206650399999944,left,-1.0,0,0,0.4189875000001848,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
18,0.5,1.5,18.222562800000105,,18.206709300000057,18.222562800000105,18.72337970000035,18.705733300000247,18.705733300000247,19.005850400000327,19.340167600000314,left,-1.5,1,1,0.6244673000001058,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
19,0.5,1.5,19.35579510000025,,19.340223900000183,19.35579510000025,19.855769000000237,19.855769000000237,19.855769000000237,20.155616200000168,20.389917400000286,right,1.5,1,1,0.5256296999996266,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
20,0.5,1.5,20.405472800000098,,20.389973499999996,20.405472800000098,20.905560900000182,20.888962600000013,20.888962600000013,21.188794200000302,21.406166100000064,left,-1.5,1,1,0.5060628999999608,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
21,0.5,1.0,21.422317999999905,,21.406224300000304,21.422317999999905,21.92208430000028,21.90526399999999,21.90526399999999,22.20542350000005,22.339410699999917,right,1.0,0,0,0.4211414000001241,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
22,0.5,1.5,22.355261800000335,,22.33947040000021,22.355261800000335,22.85542140000007,22.838850699999966,22.838850699999966,23.138450100000227,23.389484900000298,right,1.5,1,1,0.5344232000002194,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
23,0.5,1.5,23.405133300000216,,23.38954130000002,23.405133300000216,23.90511860000015,23.90511860000015,23.90511860000015,24.205216600000313,24.523120400000153,left,-1.5,1,1,0.6168542999998863,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
24,0.5,1.5,24.538512600000104,,24.523177699999906,24.538512600000104,25.038166100000126,25.038166100000126,25.038166100000126,25.338154300000042,25.822384800000236,left,-1.5,1,1,0.7706315999998878,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
25,0.5,1.0,25.83824760000016,,25.82248400000026,25.83824760000016,26.33819459999995,26.33819459999995,26.33819459999995,26.63816470000029,26.805565099999967,right,1.0,1,1,0.45788179999999556,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
26,0.5,1.0,26.821537400000125,,26.80562080000027,26.821537400000125,27.3212082,27.3212082,27.3212082,27.621478000000025,27.888735100000304,left,-1.0,1,1,0.55294559999993,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
27,0.5,1.0,27.904684200000247,,27.888792300000205,27.904684200000247,28.404624199999944,28.387769700000263,28.387769700000263,28.687963800000034,28.98875709999993,right,1.0,1,1,0.5939277000002221,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
28,0.5,1.0,29.004437699999926,,28.98881530000017,29.004437699999926,29.504475200000343,29.504475200000343,29.504475200000343,29.804497900000115,30.10509570000022,left,-1.0,1,1,0.5853217999997469,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
29,0.5,1.0,30.120892899999944,,30.105152999999973,30.120892899999944,30.62102440000035,30.604182300000048,30.604182300000048,30.904408700000204,31.13854880000008,left,-1.0,1,1,0.5331031000000621,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
30,0.5,1.0,31.154393900000287,,31.13860590000013,31.154393900000287,31.654187399999955,31.654187399999955,31.654187399999955,31.954075699999976,32.38821860000007,left,-1.0,1,1,0.7208760000003167,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
31,0.5,1.0,32.403954200000044,,32.388276700000006,32.403954200000044,32.9040844000001,32.887398100000155,32.887398100000155,33.18746310000006,33.538100900000245,left,-1.0,1,1,0.6389654999998129,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
32,0.5,1.0,33.55388470000025,,33.53815740000027,33.55388470000025,34.05375950000007,34.05375950000007,34.05375950000007,34.35369250000031,34.5884188,left,-1.0,0,0,0.5309159999997064,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
33,0.5,1.5,34.60372929999994,,34.58848420000004,34.60372929999994,35.10360500000024,35.10360500000024,35.10360500000024,35.40365930000007,35.721524200000204,left,-1.5,1,1,0.6141004000000976,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
34,0.5,1.5,35.7369133000002,,35.72158179999997,35.7369133000002,36.23695230000021,36.23695230000021,36.23695230000021,36.53711539999995,36.80425910000031,left,-1.5,0,0,0.561905200000183,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
35,0.5,2.0,36.820287400000325,,36.804318400000284,36.820287400000325,37.320049400000244,37.303234599999996,37.303234599999996,37.60343980000016,37.92113090000021,left,-2.0,1,1,0.6095736000002034,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
36,0.5,2.0,37.93669890000001,,37.92119330000014,37.93669890000001,38.43669550000004,38.43669550000004,38.43669550000004,38.736641899999995,39.00405670000009,right,2.0,1,1,0.5626687999997557,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
37,0.5,2.0,39.020009500000015,,39.004111600000215,39.020009500000015,39.51977790000001,39.50310239999999,39.50310239999999,39.80271780000021,39.98738920000005,right,2.0,1,1,0.479510399999981,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
38,0.5,1.5,40.0033784000002,,39.987448700000186,40.0033784000002,40.50323070000013,40.50323070000013,40.50323070000013,40.80292589999999,41.08709369999997,left,-1.5,1,1,0.5766004999995857,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
39,0.5,1.5,41.102897700000085,,41.08715000000029,41.102897700000085,41.602914300000066,41.58614660000012,41.58614660000012,41.88613720000012,42.10362979999991,left,-1.5,1,1,0.505590299999767,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
40,0.5,1.5,42.11953829999993,,42.10368640000024,42.11953829999993,42.61943130000009,42.60273219999999,42.60273219999999,42.90275670000028,43.120371200000136,right,1.5,1,1,0.5114401999999245,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
41,0.5,1.0,43.1360724000001,,43.120428600000196,43.1360724000001,43.636720700000296,43.636720700000296,43.636720700000296,43.935814400000254,44.1203031,right,1.0,1,1,0.4738657000002604,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
42,0.5,1.0,44.13585899999998,,44.12036020000005,44.13585899999998,44.635787600000185,44.61922850000019,44.61922850000019,44.919224900000245,45.15320700000029,right,1.0,1,1,0.5190958999996838,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
43,0.5,1.0,45.169210999999905,,45.15326380000033,45.169210999999905,45.66901050000024,45.65237909999996,45.65237909999996,45.952244000000064,46.33668190000026,right,1.0,1,1,0.67947120000008,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
